id;name;creator;how_to_play;level
1;streamline Intelligent red;fuchsia;false;ADVANCED
2;Plains;discrete;false;BEGINNER
3;Handcrafted Horizontal incremental;Afghanistan;false;BEGINNER
4;Garden primary Iowa;Fully-configurable;true;INTERMEDIATE
5;Indiana Bacon partnerships;Focused integrate neural;false;ADVANCED
6;overriding Product;SMS;true;ADVANCED
7;Associate Pants;IB SQL;false;BEGINNER
8;withdrawal Islands Cote d'Ivoire;back up;true;ADVANCED
9;leading-edge yellow Berkshire;Open-architected system;false;ADVANCED
10;bypassing Persistent Games;application;false;ADVANCED
